cell_id,group_id,group_tag,T_K,T_full,csem_w,terminal_kl_w,score_head_loss_w,outer_time_weighting,head_time_weighting,epochs,refine_epochs,eval_every,eval_samples,cfg_strength,result_name
00,00,TK_0p70,0.70,1.75,0.075,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_0p70/csem_0p075
01,00,TK_0p70,0.70,1.75,0.100,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_0p70/csem_0p100
02,00,TK_0p70,0.70,1.75,0.150,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_0p70/csem_0p150
03,01,TK_0p85,0.85,1.75,0.075,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_0p85/csem_0p075
04,01,TK_0p85,0.85,1.75,0.100,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_0p85/csem_0p100
05,01,TK_0p85,0.85,1.75,0.150,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_0p85/csem_0p150
06,02,TK_1p00,1.00,1.75,0.075,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p00/csem_0p075
07,02,TK_1p00,1.00,1.75,0.100,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p00/csem_0p100
08,02,TK_1p00,1.00,1.75,0.150,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p00/csem_0p150
09,03,TK_1p15,1.15,1.75,0.075,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p15/csem_0p075
10,03,TK_1p15,1.15,1.75,0.100,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p15/csem_0p100
11,03,TK_1p15,1.15,1.75,0.150,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p15/csem_0p150
12,04,TK_1p30,1.30,1.75,0.075,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p30/csem_0p075
13,04,TK_1p30,1.30,1.75,0.100,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p30/csem_0p100
14,04,TK_1p30,1.30,1.75,0.150,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p30/csem_0p150
15,05,TK_1p45,1.45,1.75,0.075,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p45/csem_0p075
16,05,TK_1p45,1.45,1.75,0.100,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p45/csem_0p100
17,05,TK_1p45,1.45,1.75,0.150,0.30,1.0,canonical,unweighted-eps,500,0,50,10000,3.0,TK_1p45/csem_0p150
