cell_id,T_K,T_full,csem_w,terminal_kl_w,score_head_loss_w,outer_time_weighting,head_time_weighting,epochs,refine_epochs,eval_every,eval_samples,cfg_strength,result_name
00,1.20,1.60,0.03,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p03_kl_0p40
01,1.20,1.60,0.03,0.50,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p03_kl_0p50
02,1.20,1.60,0.03,0.60,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p03_kl_0p60
03,1.20,1.60,0.03,0.80,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p03_kl_0p80
04,1.20,1.60,0.04,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p04_kl_0p40
05,1.20,1.60,0.04,0.50,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p04_kl_0p50
06,1.20,1.60,0.04,0.60,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p04_kl_0p60
07,1.20,1.60,0.04,0.80,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p04_kl_0p80
08,1.20,1.60,0.05,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p05_kl_0p40
09,1.20,1.60,0.05,0.50,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p05_kl_0p50
10,1.20,1.60,0.05,0.60,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p05_kl_0p60
11,1.20,1.60,0.05,0.80,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p05_kl_0p80
12,1.20,1.60,0.06,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p06_kl_0p40
13,1.20,1.60,0.06,0.50,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p06_kl_0p50
14,1.20,1.60,0.06,0.60,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p06_kl_0p60
15,1.20,1.60,0.06,0.80,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p06_kl_0p80
16,1.20,1.60,0.08,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p08_kl_0p40
17,1.20,1.60,0.08,0.50,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p08_kl_0p50
18,1.20,1.60,0.08,0.60,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p08_kl_0p60
19,1.20,1.60,0.08,0.80,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p08_kl_0p80
