cell_id,rep_id,rep_role,source_results_root,source_result_name,T_K,T_full,csem_w,terminal_kl_w,rk4_steps,rk4_nfe,oracle_sampling_samples,oracle_profile_query_samples,oracle_profile_time_points,result_name
00,two_stage_c0_k40,no CSEM / two-stage-like control,cifar_weight_sweep_TK1p2_T1p6_v1_results,cw_0p00_kl_0p40,1.20,1.60,0.00,0.40,5,20,256,64,16,two_stage_c0_k40_rk4s005
01,two_stage_c0_k40,no CSEM / two-stage-like control,cifar_weight_sweep_TK1p2_T1p6_v1_results,cw_0p00_kl_0p40,1.20,1.60,0.00,0.40,10,40,256,64,16,two_stage_c0_k40_rk4s010
02,two_stage_c0_k40,no CSEM / two-stage-like control,cifar_weight_sweep_TK1p2_T1p6_v1_results,cw_0p00_kl_0p40,1.20,1.60,0.00,0.40,25,100,256,64,16,two_stage_c0_k40_rk4s025
03,two_stage_c0_k40,no CSEM / two-stage-like control,cifar_weight_sweep_TK1p2_T1p6_v1_results,cw_0p00_kl_0p40,1.20,1.60,0.00,0.40,50,200,256,64,16,two_stage_c0_k40_rk4s050
04,weak_c2_k40,weak CSEM shaping at matched KL,cifar_weight_sweep_TK1p2_T1p6_v1_results,cw_0p02_kl_0p40,1.20,1.60,0.02,0.40,5,20,256,64,16,weak_c2_k40_rk4s005
05,weak_c2_k40,weak CSEM shaping at matched KL,cifar_weight_sweep_TK1p2_T1p6_v1_results,cw_0p02_kl_0p40,1.20,1.60,0.02,0.40,10,40,256,64,16,weak_c2_k40_rk4s010
06,weak_c2_k40,weak CSEM shaping at matched KL,cifar_weight_sweep_TK1p2_T1p6_v1_results,cw_0p02_kl_0p40,1.20,1.60,0.02,0.40,25,100,256,64,16,weak_c2_k40_rk4s025
07,weak_c2_k40,weak CSEM shaping at matched KL,cifar_weight_sweep_TK1p2_T1p6_v1_results,cw_0p02_kl_0p40,1.20,1.60,0.02,0.40,50,200,256,64,16,weak_c2_k40_rk4s050
08,sweet_c5_k40,near-optimal CSEM shaping at matched KL,cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p05_kl_0p40,1.20,1.60,0.05,0.40,5,20,256,64,16,sweet_c5_k40_rk4s005
09,sweet_c5_k40,near-optimal CSEM shaping at matched KL,cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p05_kl_0p40,1.20,1.60,0.05,0.40,10,40,256,64,16,sweet_c5_k40_rk4s010
10,sweet_c5_k40,near-optimal CSEM shaping at matched KL,cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p05_kl_0p40,1.20,1.60,0.05,0.40,25,100,256,64,16,sweet_c5_k40_rk4s025
11,sweet_c5_k40,near-optimal CSEM shaping at matched KL,cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p05_kl_0p40,1.20,1.60,0.05,0.40,50,200,256,64,16,sweet_c5_k40_rk4s050
12,strong_c8_k40,strong score-friendly CSEM shaping at matched KL,cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p08_kl_0p40,1.20,1.60,0.08,0.40,5,20,256,64,16,strong_c8_k40_rk4s005
13,strong_c8_k40,strong score-friendly CSEM shaping at matched KL,cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p08_kl_0p40,1.20,1.60,0.08,0.40,10,40,256,64,16,strong_c8_k40_rk4s010
14,strong_c8_k40,strong score-friendly CSEM shaping at matched KL,cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p08_kl_0p40,1.20,1.60,0.08,0.40,25,100,256,64,16,strong_c8_k40_rk4s025
15,strong_c8_k40,strong score-friendly CSEM shaping at matched KL,cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p08_kl_0p40,1.20,1.60,0.08,0.40,50,200,256,64,16,strong_c8_k40_rk4s050
16,highkl_c5_k80,"same CSEM as sweet spot, stronger terminal Gaussianization",cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p05_kl_0p80,1.20,1.60,0.05,0.80,5,20,256,64,16,highkl_c5_k80_rk4s005
17,highkl_c5_k80,"same CSEM as sweet spot, stronger terminal Gaussianization",cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p05_kl_0p80,1.20,1.60,0.05,0.80,10,40,256,64,16,highkl_c5_k80_rk4s010
18,highkl_c5_k80,"same CSEM as sweet spot, stronger terminal Gaussianization",cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p05_kl_0p80,1.20,1.60,0.05,0.80,25,100,256,64,16,highkl_c5_k80_rk4s025
19,highkl_c5_k80,"same CSEM as sweet spot, stronger terminal Gaussianization",cifar_highkl_weight_sweep_TK1p2_T1p6_v2_results,cw_0p05_kl_0p80,1.20,1.60,0.05,0.80,50,200,256,64,16,highkl_c5_k80_rk4s050
