cell_id,T_K,T_full,csem_w,terminal_kl_w,score_head_loss_w,outer_time_weighting,head_time_weighting,epochs,refine_epochs,eval_every,eval_samples,cfg_strength,result_name
00,1.20,1.60,0.00,0.10,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p00_kl_0p10
01,1.20,1.60,0.00,0.20,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p00_kl_0p20
02,1.20,1.60,0.00,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p00_kl_0p30
03,1.20,1.60,0.00,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p00_kl_0p40
04,1.20,1.60,0.02,0.10,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p02_kl_0p10
05,1.20,1.60,0.02,0.20,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p02_kl_0p20
06,1.20,1.60,0.02,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p02_kl_0p30
07,1.20,1.60,0.02,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p02_kl_0p40
08,1.20,1.60,0.04,0.10,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p04_kl_0p10
09,1.20,1.60,0.04,0.20,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p04_kl_0p20
10,1.20,1.60,0.04,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p04_kl_0p30
11,1.20,1.60,0.04,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p04_kl_0p40
12,1.20,1.60,0.06,0.10,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p06_kl_0p10
13,1.20,1.60,0.06,0.20,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p06_kl_0p20
14,1.20,1.60,0.06,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p06_kl_0p30
15,1.20,1.60,0.06,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p06_kl_0p40
16,1.20,1.60,0.08,0.10,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p08_kl_0p10
17,1.20,1.60,0.08,0.20,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p08_kl_0p20
18,1.20,1.60,0.08,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p08_kl_0p30
19,1.20,1.60,0.08,0.40,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,cw_0p08_kl_0p40
