config_id,bundle_id,slot_in_bundle,outer_time_weighting,head_time_weighting,rep_weight,lr_score_head,score_head_loss_w,T_terminal,epochs,refine_epochs,eval_every,eval_samples,cfg_strength,result_name
000,00,0,unweighted-eps,unweighted-eps,0.05,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_000_ou_hu_lam0p05_lr5em05
001,00,1,unweighted-eps,unweighted-eps,0.1,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_001_ou_hu_lam0p10_lr5em05
002,00,2,unweighted-eps,unweighted-eps,0.2,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_002_ou_hu_lam0p20_lr5em05
003,00,3,unweighted-eps,unweighted-eps,0.4,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_003_ou_hu_lam0p40_lr5em05
004,00,4,unweighted-eps,unweighted-eps,0.6,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_004_ou_hu_lam0p60_lr5em05
005,00,5,unweighted-eps,unweighted-eps,1,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_005_ou_hu_lam1p00_lr5em05
006,01,0,unweighted-eps,unweighted-eps,0.05,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_006_ou_hu_lam0p05_lr1em04
007,01,1,unweighted-eps,unweighted-eps,0.1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_007_ou_hu_lam0p10_lr1em04
008,01,2,unweighted-eps,unweighted-eps,0.2,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_008_ou_hu_lam0p20_lr1em04
009,01,3,unweighted-eps,unweighted-eps,0.4,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_009_ou_hu_lam0p40_lr1em04
010,01,4,unweighted-eps,unweighted-eps,0.6,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_010_ou_hu_lam0p60_lr1em04
011,01,5,unweighted-eps,unweighted-eps,1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_011_ou_hu_lam1p00_lr1em04
012,02,0,unweighted-eps,unweighted-eps,0.05,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_012_ou_hu_lam0p05_lr2em04
013,02,1,unweighted-eps,unweighted-eps,0.1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_013_ou_hu_lam0p10_lr2em04
014,02,2,unweighted-eps,unweighted-eps,0.2,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_014_ou_hu_lam0p20_lr2em04
015,02,3,unweighted-eps,unweighted-eps,0.4,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_015_ou_hu_lam0p40_lr2em04
016,02,4,unweighted-eps,unweighted-eps,0.6,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_016_ou_hu_lam0p60_lr2em04
017,02,5,unweighted-eps,unweighted-eps,1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_017_ou_hu_lam1p00_lr2em04
018,03,0,unweighted-eps,unweighted-eps,0.05,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_018_ou_hu_lam0p05_lr4em04
019,03,1,unweighted-eps,unweighted-eps,0.1,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_019_ou_hu_lam0p10_lr4em04
020,03,2,unweighted-eps,unweighted-eps,0.2,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_020_ou_hu_lam0p20_lr4em04
021,03,3,unweighted-eps,unweighted-eps,0.4,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_021_ou_hu_lam0p40_lr4em04
022,03,4,unweighted-eps,unweighted-eps,0.6,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_022_ou_hu_lam0p60_lr4em04
023,03,5,unweighted-eps,unweighted-eps,1,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_023_ou_hu_lam1p00_lr4em04
024,04,0,unweighted-eps,unweighted-eps,0.05,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_024_ou_hu_lam0p05_lr8em04
025,04,1,unweighted-eps,unweighted-eps,0.1,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_025_ou_hu_lam0p10_lr8em04
026,04,2,unweighted-eps,unweighted-eps,0.2,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_026_ou_hu_lam0p20_lr8em04
027,04,3,unweighted-eps,unweighted-eps,0.4,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_027_ou_hu_lam0p40_lr8em04
028,04,4,unweighted-eps,unweighted-eps,0.6,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_028_ou_hu_lam0p60_lr8em04
029,04,5,unweighted-eps,unweighted-eps,1,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_029_ou_hu_lam1p00_lr8em04
030,05,0,unweighted-eps,canonical,0.05,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_030_ou_hc_lam0p05_lr5em05
031,05,1,unweighted-eps,canonical,0.1,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_031_ou_hc_lam0p10_lr5em05
032,05,2,unweighted-eps,canonical,0.2,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_032_ou_hc_lam0p20_lr5em05
033,05,3,unweighted-eps,canonical,0.4,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_033_ou_hc_lam0p40_lr5em05
034,05,4,unweighted-eps,canonical,0.6,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_034_ou_hc_lam0p60_lr5em05
035,05,5,unweighted-eps,canonical,1,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_035_ou_hc_lam1p00_lr5em05
036,06,0,unweighted-eps,canonical,0.05,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_036_ou_hc_lam0p05_lr1em04
037,06,1,unweighted-eps,canonical,0.1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_037_ou_hc_lam0p10_lr1em04
038,06,2,unweighted-eps,canonical,0.2,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_038_ou_hc_lam0p20_lr1em04
039,06,3,unweighted-eps,canonical,0.4,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_039_ou_hc_lam0p40_lr1em04
040,06,4,unweighted-eps,canonical,0.6,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_040_ou_hc_lam0p60_lr1em04
041,06,5,unweighted-eps,canonical,1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_041_ou_hc_lam1p00_lr1em04
042,07,0,unweighted-eps,canonical,0.05,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_042_ou_hc_lam0p05_lr2em04
043,07,1,unweighted-eps,canonical,0.1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_043_ou_hc_lam0p10_lr2em04
044,07,2,unweighted-eps,canonical,0.2,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_044_ou_hc_lam0p20_lr2em04
045,07,3,unweighted-eps,canonical,0.4,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_045_ou_hc_lam0p40_lr2em04
046,07,4,unweighted-eps,canonical,0.6,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_046_ou_hc_lam0p60_lr2em04
047,07,5,unweighted-eps,canonical,1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_047_ou_hc_lam1p00_lr2em04
048,08,0,unweighted-eps,canonical,0.05,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_048_ou_hc_lam0p05_lr4em04
