config_id,bundle_id,slot_in_bundle,role,outer_time_weighting,head_time_weighting,csem_w,terminal_kl_w,lr_score_head,score_head_loss_w,T_terminal,epochs,refine_epochs,eval_every,eval_samples,cfg_strength,oracle_profile_query_samples,oracle_profile_time_points,oracle_profile_batch_size,oracle_reference_batch_size,oracle_sampling_samples,oracle_sampling_batch_size,oracle_sampling_steps,result_name
000,00,0,unweighted_reference,unweighted-eps,unweighted-eps,0.6,0.6,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_000_U_cw0p6_kw0p6_lr8em4
001,00,1,canonical_grid,canonical,unweighted-eps,0.025,0.3,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_001_C_cw0p025_kw0p3_lr8em4
002,01,0,canonical_grid,canonical,unweighted-eps,0.025,0.5,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_002_C_cw0p025_kw0p5_lr8em4
003,01,1,canonical_grid,canonical,unweighted-eps,0.025,0.7,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_003_C_cw0p025_kw0p7_lr8em4
004,02,0,canonical_grid,canonical,unweighted-eps,0.025,0.9,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_004_C_cw0p025_kw0p9_lr8em4
005,02,1,canonical_grid,canonical,unweighted-eps,0.05,0.3,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_005_C_cw0p05_kw0p3_lr8em4
006,03,0,canonical_grid,canonical,unweighted-eps,0.05,0.5,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_006_C_cw0p05_kw0p5_lr8em4
007,03,1,canonical_grid,canonical,unweighted-eps,0.05,0.7,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_007_C_cw0p05_kw0p7_lr8em4
008,04,0,canonical_grid,canonical,unweighted-eps,0.05,0.9,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_008_C_cw0p05_kw0p9_lr8em4
009,04,1,canonical_grid,canonical,unweighted-eps,0.075,0.3,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_009_C_cw0p075_kw0p3_lr8em4
010,05,0,canonical_grid,canonical,unweighted-eps,0.075,0.5,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_010_C_cw0p075_kw0p5_lr8em4
011,05,1,canonical_grid,canonical,unweighted-eps,0.075,0.7,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_011_C_cw0p075_kw0p7_lr8em4
012,06,0,canonical_grid,canonical,unweighted-eps,0.075,0.9,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_012_C_cw0p075_kw0p9_lr8em4
013,06,1,canonical_grid,canonical,unweighted-eps,0.1,0.3,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_013_C_cw0p1_kw0p3_lr8em4
014,07,0,canonical_grid,canonical,unweighted-eps,0.1,0.5,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_014_C_cw0p1_kw0p5_lr8em4
015,07,1,canonical_grid,canonical,unweighted-eps,0.1,0.7,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_015_C_cw0p1_kw0p7_lr8em4
016,08,0,canonical_grid,canonical,unweighted-eps,0.1,0.9,0.0008,1.0,1.5,120,0,0,2000,3.0,256,32,16,2048,2000,32,25,metric_parity_cfg_016_C_cw0p1_kw0p9_lr8em4
