cell_id,family,rep_id,rep_role,seed,pareto_lever,pareto_value,T_K,T_full,csem_w,terminal_kl_w,epochs,refine_epochs,eval_every,eval_samples,oracle_step_grid,oracle_sampling_samples,oracle_profile_query_samples,oracle_profile_time_points,result_name
00,two_stage,twostage_tk0_b0p000_s42,standard two-stage LDM: reconstruction + beta0*K0; detached score training,42,beta0_time_zero_KL,0.000000,0.0,1.60,0.0,0.000000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p000_s42
01,two_stage,twostage_tk0_b0p000_s43,standard two-stage LDM: reconstruction + beta0*K0; detached score training,43,beta0_time_zero_KL,0.000000,0.0,1.60,0.0,0.000000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p000_s43
02,two_stage,twostage_tk0_b0p010_s42,standard two-stage LDM: reconstruction + beta0*K0; detached score training,42,beta0_time_zero_KL,0.010000,0.0,1.60,0.0,0.010000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p010_s42
03,two_stage,twostage_tk0_b0p010_s43,standard two-stage LDM: reconstruction + beta0*K0; detached score training,43,beta0_time_zero_KL,0.010000,0.0,1.60,0.0,0.010000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p010_s43
04,two_stage,twostage_tk0_b0p030_s42,standard two-stage LDM: reconstruction + beta0*K0; detached score training,42,beta0_time_zero_KL,0.030000,0.0,1.60,0.0,0.030000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p030_s42
05,two_stage,twostage_tk0_b0p030_s43,standard two-stage LDM: reconstruction + beta0*K0; detached score training,43,beta0_time_zero_KL,0.030000,0.0,1.60,0.0,0.030000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p030_s43
06,two_stage,twostage_tk0_b0p070_s42,standard two-stage LDM: reconstruction + beta0*K0; detached score training,42,beta0_time_zero_KL,0.070000,0.0,1.60,0.0,0.070000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p070_s42
07,two_stage,twostage_tk0_b0p070_s43,standard two-stage LDM: reconstruction + beta0*K0; detached score training,43,beta0_time_zero_KL,0.070000,0.0,1.60,0.0,0.070000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p070_s43
08,two_stage,twostage_tk0_b0p150_s42,standard two-stage LDM: reconstruction + beta0*K0; detached score training,42,beta0_time_zero_KL,0.150000,0.0,1.60,0.0,0.150000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p150_s42
09,two_stage,twostage_tk0_b0p150_s43,standard two-stage LDM: reconstruction + beta0*K0; detached score training,43,beta0_time_zero_KL,0.150000,0.0,1.60,0.0,0.150000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p150_s43
10,two_stage,twostage_tk0_b0p300_s42,standard two-stage LDM: reconstruction + beta0*K0; detached score training,42,beta0_time_zero_KL,0.300000,0.0,1.60,0.0,0.300000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p300_s42
11,two_stage,twostage_tk0_b0p300_s43,standard two-stage LDM: reconstruction + beta0*K0; detached score training,43,beta0_time_zero_KL,0.300000,0.0,1.60,0.0,0.300000,500,0,0,10000,"5,10,25,50",256,64,16,twostage_tk0_b0p300_s43
12,csem,csem_tk1p2_c0p020_k0p400_s42,partial-joint CSEM at T_K=1.2 with matched boundary KL=.40,42,csem_weight,0.020000,1.20,1.60,0.020000,0.400000,500,0,0,10000,"5,10,25,50",256,64,16,csem_tk1p2_c0p020_k0p400_s42
13,csem,csem_tk1p2_c0p020_k0p400_s43,partial-joint CSEM at T_K=1.2 with matched boundary KL=.40,43,csem_weight,0.020000,1.20,1.60,0.020000,0.400000,500,0,0,10000,"5,10,25,50",256,64,16,csem_tk1p2_c0p020_k0p400_s43
14,csem,csem_tk1p2_c0p040_k0p400_s42,partial-joint CSEM at T_K=1.2 with matched boundary KL=.40,42,csem_weight,0.040000,1.20,1.60,0.040000,0.400000,500,0,0,10000,"5,10,25,50",256,64,16,csem_tk1p2_c0p040_k0p400_s42
15,csem,csem_tk1p2_c0p040_k0p400_s43,partial-joint CSEM at T_K=1.2 with matched boundary KL=.40,43,csem_weight,0.040000,1.20,1.60,0.040000,0.400000,500,0,0,10000,"5,10,25,50",256,64,16,csem_tk1p2_c0p040_k0p400_s43
16,csem,csem_tk1p2_c0p080_k0p400_s42,partial-joint CSEM at T_K=1.2 with matched boundary KL=.40,42,csem_weight,0.080000,1.20,1.60,0.080000,0.400000,500,0,0,10000,"5,10,25,50",256,64,16,csem_tk1p2_c0p080_k0p400_s42
17,csem,csem_tk1p2_c0p080_k0p400_s43,partial-joint CSEM at T_K=1.2 with matched boundary KL=.40,43,csem_weight,0.080000,1.20,1.60,0.080000,0.400000,500,0,0,10000,"5,10,25,50",256,64,16,csem_tk1p2_c0p080_k0p400_s43
18,csem,csem_tk1p2_c0p150_k0p400_s42,partial-joint CSEM at T_K=1.2 with matched boundary KL=.40,42,csem_weight,0.150000,1.20,1.60,0.150000,0.400000,500,0,0,10000,"5,10,25,50",256,64,16,csem_tk1p2_c0p150_k0p400_s42
19,csem,csem_tk1p2_c0p150_k0p400_s43,partial-joint CSEM at T_K=1.2 with matched boundary KL=.40,43,csem_weight,0.150000,1.20,1.60,0.150000,0.400000,500,0,0,10000,"5,10,25,50",256,64,16,csem_tk1p2_c0p150_k0p400_s43
