cell_id,sweep_group,rep_id,rep_role,seed,T_K,T_full,delta_T,tail_fraction,TK_fraction,csem_w,terminal_kl_w,epochs,refine_epochs,eval_every,eval_samples,oracle_step_grid,oracle_sampling_samples,oracle_profile_query_samples,oracle_profile_time_points,result_name
00,primary,down_T1p35_d0p10_TK1p25_k0p60_s42,downward detached-tail extension at wK=.60,42,1.25,1.35,0.10,0.07407407,0.92592593,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p35_d0p10_TK1p25_k0p60_s42
01,primary,down_T1p35_d0p10_TK1p25_k0p60_s43,downward detached-tail extension at wK=.60,43,1.25,1.35,0.10,0.07407407,0.92592593,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p35_d0p10_TK1p25_k0p60_s43
02,primary,down_T1p35_d0p20_TK1p15_k0p60_s42,downward detached-tail extension at wK=.60,42,1.15,1.35,0.20,0.14814815,0.85185185,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p35_d0p20_TK1p15_k0p60_s42
03,primary,down_T1p35_d0p20_TK1p15_k0p60_s43,downward detached-tail extension at wK=.60,43,1.15,1.35,0.20,0.14814815,0.85185185,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p35_d0p20_TK1p15_k0p60_s43
04,primary,down_T1p35_d0p30_TK1p05_k0p60_s42,downward detached-tail extension at wK=.60,42,1.05,1.35,0.30,0.22222222,0.77777778,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p35_d0p30_TK1p05_k0p60_s42
05,primary,down_T1p35_d0p30_TK1p05_k0p60_s43,downward detached-tail extension at wK=.60,43,1.05,1.35,0.30,0.22222222,0.77777778,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p35_d0p30_TK1p05_k0p60_s43
06,primary,down_T1p35_d0p40_TK0p95_k0p60_s42,downward detached-tail extension at wK=.60,42,0.95,1.35,0.40,0.29629630,0.70370370,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p35_d0p40_TK0p95_k0p60_s42
07,primary,down_T1p35_d0p40_TK0p95_k0p60_s43,downward detached-tail extension at wK=.60,43,0.95,1.35,0.40,0.29629630,0.70370370,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p35_d0p40_TK0p95_k0p60_s43
08,primary,down_T1p45_d0p10_TK1p35_k0p60_s42,downward detached-tail extension at wK=.60,42,1.35,1.45,0.10,0.06896552,0.93103448,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p45_d0p10_TK1p35_k0p60_s42
09,primary,down_T1p45_d0p10_TK1p35_k0p60_s43,downward detached-tail extension at wK=.60,43,1.35,1.45,0.10,0.06896552,0.93103448,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,down_T1p45_d0p10_TK1p35_k0p60_s43
