cell_id,rep_id,rep_role,seed,T_K,T_full,delta_T,tail_fraction,TK_fraction,csem_w,terminal_kl_w,epochs,refine_epochs,eval_every,eval_samples,oracle_step_grid,oracle_sampling_samples,oracle_profile_query_samples,oracle_profile_time_points,result_name
00,tail_T1p45_d0p30_TK1p15_s42,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",42,1.15,1.45,0.30,0.20689655,0.79310345,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p45_d0p30_TK1p15_s42
01,tail_T1p45_d0p30_TK1p15_s43,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",43,1.15,1.45,0.30,0.20689655,0.79310345,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p45_d0p30_TK1p15_s43
02,tail_T1p45_d0p40_TK1p05_s42,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",42,1.05,1.45,0.40,0.27586207,0.72413793,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p45_d0p40_TK1p05_s42
03,tail_T1p45_d0p40_TK1p05_s43,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",43,1.05,1.45,0.40,0.27586207,0.72413793,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p45_d0p40_TK1p05_s43
04,tail_T1p45_d0p50_TK0p95_s42,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",42,0.95,1.45,0.50,0.34482759,0.65517241,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p45_d0p50_TK0p95_s42
05,tail_T1p45_d0p50_TK0p95_s43,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",43,0.95,1.45,0.50,0.34482759,0.65517241,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p45_d0p50_TK0p95_s43
06,tail_T1p60_d0p30_TK1p30_s42,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",42,1.30,1.60,0.30,0.18750000,0.81250000,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p60_d0p30_TK1p30_s42
07,tail_T1p60_d0p30_TK1p30_s43,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",43,1.30,1.60,0.30,0.18750000,0.81250000,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p60_d0p30_TK1p30_s43
08,tail_T1p60_d0p40_TK1p20_s42,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",42,1.20,1.60,0.40,0.25000000,0.75000000,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p60_d0p40_TK1p20_s42
09,tail_T1p60_d0p40_TK1p20_s43,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",43,1.20,1.60,0.40,0.25000000,0.75000000,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p60_d0p40_TK1p20_s43
10,tail_T1p60_d0p50_TK1p10_s42,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",42,1.10,1.60,0.50,0.31250000,0.68750000,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p60_d0p50_TK1p10_s42
11,tail_T1p60_d0p50_TK1p10_s43,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",43,1.10,1.60,0.50,0.31250000,0.68750000,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p60_d0p50_TK1p10_s43
12,tail_T1p75_d0p30_TK1p45_s42,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",42,1.45,1.75,0.30,0.17142857,0.82857143,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p75_d0p30_TK1p45_s42
13,tail_T1p75_d0p30_TK1p45_s43,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",43,1.45,1.75,0.30,0.17142857,0.82857143,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p75_d0p30_TK1p45_s43
14,tail_T1p75_d0p40_TK1p35_s42,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",42,1.35,1.75,0.40,0.22857143,0.77142857,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p75_d0p40_TK1p35_s42
15,tail_T1p75_d0p40_TK1p35_s43,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",43,1.35,1.75,0.40,0.22857143,0.77142857,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p75_d0p40_TK1p35_s43
16,tail_T1p75_d0p50_TK1p25_s42,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",42,1.25,1.75,0.50,0.28571429,0.71428571,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p75_d0p50_TK1p25_s42
17,tail_T1p75_d0p50_TK1p25_s43,"detached-tail geometry test: fixed CSEM/KL, vary full horizon and tail length",43,1.25,1.75,0.50,0.28571429,0.71428571,0.05,0.60,500,0,0,10000,"5,10,25,50",256,64,16,tail_T1p75_d0p50_TK1p25_s43
